Title,Link
Global warming,https://iopscience.iop.org/article/10.1088/0034-4885/68/6/R02/meta
Hurricanes and global warming,https://journals.ametsoc.org/view/journals/bams/86/11/bams-86-11-1571.xml
[PDF] Global warming of 1.5 C,https://apps.ipcc.ch/outreach/documents/451/1551801374.pdf
"Economics of global warming, the",https://ideas.repec.org/b/iie/ppress/39.html
[BOOK] Global warming,https://www.taylorfrancis.com/books/mono/10.4324/9781315838779/global-warming-danny-harvey
Global warming and infectious disease,https://www.sciencedirect.com/science/article/pii/S0188440905001517
Hurricanes and global warming,https://www.nature.com/articles/nature04477
Some economics of global warming,https://www.jstor.org/stable/2117599
The discovery of global warming,https://www.degruyter.com/document/doi/10.4159/9780674417557/html
Global warming is changing the world,https://www.science.org/doi/full/10.1126/science.316.5822.188
[BOOK] Global warming,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203785041&type=googlepdf
The challenge to keep global warming below 2 C,https://www.nature.com/articles/nclimate1783
[BOOK] Warming the world: economic models of global warming,https://books.google.com/books?hl=en&lr=&id=GbcCZHGQliwC&oi=fnd&pg=PR11&dq=global+warming&ots=GAmO0thYfh&sig=lLLQbY9ckuZPEAggw0hPU9M3FQs
[BOOK] Global warming: the complete briefing,https://books.google.com/books?hl=en&lr=&id=oUbWnWfnaJ4C&oi=fnd&pg=PR17&dq=global+warming&ots=0OWh7A2VhY&sig=ezJ5dnUebGl99HhzOzf97Y9yxKc
"[BOOK] Unstoppable global warming: Every 1,500 years",https://books.google.com/books?hl=en&lr=&id=75W1In9K_oUC&oi=fnd&pg=PR7&dq=global+warming&ots=AtpQBTcDtJ&sig=TPaP5b3O6ulsGYkuM6x78hWmBLk
Global warming economics,https://www.science.org/doi/abs/10.1126/science.1065007
Uncertainty in hurricanes and global warming,https://www.science.org/doi/full/10.1126/science.1112551
Simulation of early 20th century global warming,https://www.science.org/doi/abs/10.1126/science.287.5461.2246
The challenge of global warming,https://www.osti.gov/biblio/5625979
[BOOK] Global warming: the Greenpeace report,https://tamug-ir.tdl.org/handle/1969.3/25303
The construction of global warming and the politics of science,https://www.tandfonline.com/doi/abs/10.1111/0004-5608.00245
Global warming in the twenty-first century: An alternative scenario,https://www.pnas.org/content/97/18/9875.short
3. A New Agenda for Global Warming,https://www.degruyter.com/document/doi/10.7312/stig14364-003/html
[BOOK] Global warming and global politics,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203437711&type=googlepdf
The economics of hurricanes and implications of global warming,https://www.worldscientific.com/doi/abs/10.1142/S2010007810000054
Global warming,https://www.jstor.org/stable/43309412
Beyond global warming: ecology and global change,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1941591
[PDF] Global warming of 1.5 C,https://pscdocs.utah.gov/electric/17docs/1703561/314709UCEExhibitM7-15-2020.pdf
